  Batch 520/1316, Loss: 0.4636 
  Batch 530/1316, Loss: 0.4631 
  Batch 540/1316, Loss: 0.4627 
  Batch 550/1316, Loss: 0.4623 
  Batch 560/1316, Loss: 0.4617 
  Batch 570/1316, Loss: 0.4614 
  Batch 580/1316, Loss: 0.4610 
  Batch 590/1316, Loss: 0.4607 
  Batch 600/1316, Loss: 0.4602 
  Batch 610/1316, Loss: 0.4597 
  Batch 620/1316, Loss: 0.4592 
  Batch 630/1316, Loss: 0.4589 
  Batch 640/1316, Loss: 0.4583 
  Batch 650/1316, Loss: 0.4579 
  Batch 660/1316, Loss: 0.4574 
  Batch 670/1316, Loss: 0.4569 
  Batch 680/1316, Loss: 0.4565 
  Batch 690/1316, Loss: 0.4563 
  Batch 700/1316, Loss: 0.4557 
  Batch 710/1316, Loss: 0.4552 
  Batch 720/1316, Loss: 0.4546 
  Batch 730/1316, Loss: 0.4541 
  Batch 740/1316, Loss: 0.4537 
  Batch 750/1316, Loss: 0.4533 
  Batch 760/1316, Loss: 0.4529 
  Batch 770/1316, Loss: 0.4524 
  Batch 780/1316, Loss: 0.4519 
  Batch 790/1316, Loss: 0.4514 
  Batch 800/1316, Loss: 0.4508 
  Batch 810/1316, Loss: 0.4503 
  Batch 820/1316, Loss: 0.4499 
  Batch 830/1316, Loss: 0.4494 
  Batch 840/1316, Loss: 0.4489 
  Batch 850/1316, Loss: 0.4484 
  Batch 860/1316, Loss: 0.4479 
  Batch 870/1316, Loss: 0.4507 
  Batch 880/1316, Loss: 0.4539 
  Batch 890/1316, Loss: 0.4575 
  Batch 900/1316, Loss: 0.4613 
  Batch 910/1316, Loss: 0.4632 
  Batch 920/1316, Loss: 0.4654 
  Batch 930/1316, Loss: 0.4664 
  Batch 940/1316, Loss: 0.4676 
  Batch 950/1316, Loss: 0.4683 
  Batch 960/1316, Loss: 0.4693 
  Batch 970/1316, Loss: 0.4699 
  Batch 980/1316, Loss: 0.4705 
  Batch 990/1316, Loss: 0.4709 
  Batch 1000/1316, Loss: 0.4714 
  Batch 1010/1316, Loss: 0.4717 
  Batch 1020/1316, Loss: 0.4718 
  Batch 1030/1316, Loss: 0.4721 
  Batch 1040/1316, Loss: 0.4723 
  Batch 1050/1316, Loss: 0.4723 
  Batch 1060/1316, Loss: 0.4724 
  Batch 1070/1316, Loss: 0.4725 
  Batch 1080/1316, Loss: 0.4727 
  Batch 1090/1316, Loss: 0.4728 
  Batch 1100/1316, Loss: 0.4726 
  Batch 1110/1316, Loss: 0.4725 
  Batch 1120/1316, Loss: 0.4726 
  Batch 1130/1316, Loss: 0.4727 
  Batch 1140/1316, Loss: 0.4727 
  Batch 1150/1316, Loss: 0.4724 
  Batch 1160/1316, Loss: 0.4725 
  Batch 1170/1316, Loss: 0.4726 
  Batch 1180/1316, Loss: 0.4725 
  Batch 1190/1316, Loss: 0.4726 
  Batch 1200/1316, Loss: 0.4723 
  Batch 1210/1316, Loss: 0.4721 
  Batch 1220/1316, Loss: 0.4721 
  Batch 1230/1316, Loss: 0.4720 
  Batch 1240/1316, Loss: 0.4717 
  Batch 1250/1316, Loss: 0.4714 
  Batch 1260/1316, Loss: 0.4712 
  Batch 1270/1316, Loss: 0.4708 
  Batch 1280/1316, Loss: 0.4706 
  Batch 1290/1316, Loss: 0.4703 
  Batch 1300/1316, Loss: 0.4701 
  Batch 1310/1316, Loss: 0.4700 
  Training Loss: 0.4664 
  Validation Loss: 0.4632 
  Validation Accuracy: 0.8137 
Epoch 5/10 
  Batch 0/1316, Loss: 0.4566 
  Batch 10/1316, Loss: 0.4584 
  Batch 20/1316, Loss: 0.4611 
  Batch 30/1316, Loss: 0.4632 
  Batch 40/1316, Loss: 0.4642 
  Batch 50/1316, Loss: 0.4645 
  Batch 60/1316, Loss: 0.4646 
  Batch 70/1316, Loss: 0.4646 
  Batch 80/1316, Loss: 0.4645 
  Batch 90/1316, Loss: 0.4645 
  Batch 100/1316, Loss: 0.4643 
  Batch 110/1316, Loss: 0.4644 
  Batch 120/1316, Loss: 0.4643 
  Batch 130/1316, Loss: 0.4642 
  Batch 140/1316, Loss: 0.4643 
  Batch 150/1316, Loss: 0.4640 
  Batch 160/1316, Loss: 0.4640 
  Batch 170/1316, Loss: 0.4639 
  Batch 180/1316, Loss: 0.4638 
  Batch 190/1316, Loss: 0.4635 
  Batch 200/1316, Loss: 0.4633 
  Batch 210/1316, Loss: 0.4632 
  Batch 220/1316, Loss: 0.4629 
  Batch 230/1316, Loss: 0.4628 
  Batch 240/1316, Loss: 0.4626 
  Batch 250/1316, Loss: 0.4623 
  Batch 260/1316, Loss: 0.4622 
  Batch 270/1316, Loss: 0.4620 
  Batch 280/1316, Loss: 0.4617 
  Batch 290/1316, Loss: 0.4616 
  Batch 300/1316, Loss: 0.4614 
  Batch 310/1316, Loss: 0.4611 
  Batch 320/1316, Loss: 0.4608 
  Batch 330/1316, Loss: 0.4606 
  Batch 340/1316, Loss: 0.4603 
  Batch 350/1316, Loss: 0.4602 
  Batch 360/1316, Loss: 0.4600 
  Batch 370/1316, Loss: 0.4598 
  Batch 380/1316, Loss: 0.4595 
  Batch 390/1316, Loss: 0.4592 
  Batch 400/1316, Loss: 0.4589 
  Batch 410/1316, Loss: 0.4588 
  Batch 420/1316, Loss: 0.4586 
  Batch 430/1316, Loss: 0.4583 
  Batch 440/1316, Loss: 0.4580 
  Batch 450/1316, Loss: 0.4577 
  Batch 460/1316, Loss: 0.4575 
  Batch 470/1316, Loss: 0.4573 
  Batch 480/1316, Loss: 0.4571 
  Batch 490/1316, Loss: 0.4568 
  Batch 500/1316, Loss: 0.4565 
  Batch 510/1316, Loss: 0.4564 
  Batch 520/1316, Loss: 0.4560 
  Batch 530/1316, Loss: 0.4556 
  Batch 540/1316, Loss: 0.4554 
  Batch 550/1316, Loss: 0.4550 
  Batch 560/1316, Loss: 0.4545 
  Batch 570/1316, Loss: 0.4542 
  Batch 580/1316, Loss: 0.4540 
  Batch 590/1316, Loss: 0.4537 
  Batch 600/1316, Loss: 0.4533 
  Batch 610/1316, Loss: 0.4529 
  Batch 620/1316, Loss: 0.4526 
  Batch 630/1316, Loss: 0.4522 
  Batch 640/1316, Loss: 0.4519 
  Batch 650/1316, Loss: 0.4516 
  Batch 660/1316, Loss: 0.4511 
  Batch 670/1316, Loss: 0.4507 
  Batch 680/1316, Loss: 0.4504 
  Batch 690/1316, Loss: 0.4502 
  Batch 700/1316, Loss: 0.4499 
  Batch 710/1316, Loss: 0.4494 
  Batch 720/1316, Loss: 0.4491 
  Batch 730/1316, Loss: 0.4487 
  Batch 740/1316, Loss: 0.4483 
  Batch 750/1316, Loss: 0.4479 
  Batch 760/1316, Loss: 0.4476 
  Batch 770/1316, Loss: 0.4473 
  Batch 780/1316, Loss: 0.4469 
  Batch 790/1316, Loss: 0.4465 
  Batch 800/1316, Loss: 0.4461 
  Batch 810/1316, Loss: 0.4458 
  Batch 820/1316, Loss: 0.4453 
  Batch 830/1316, Loss: 0.4451 
  Batch 840/1316, Loss: 0.4446 
  Batch 850/1316, Loss: 0.4443 
  Batch 860/1316, Loss: 0.4439 
  Batch 870/1316, Loss: 0.4450 
  Batch 880/1316, Loss: 0.4474 
  Batch 890/1316, Loss: 0.4494 
  Batch 900/1316, Loss: 0.4518 
  Batch 910/1316, Loss: 0.4537 
  Batch 920/1316, Loss: 0.4560 
  Batch 930/1316, Loss: 0.4574 
  Batch 940/1316, Loss: 0.4588 
  Batch 950/1316, Loss: 0.4603 
  Batch 960/1316, Loss: 0.4610 
  Batch 970/1316, Loss: 0.4624 
  Batch 980/1316, Loss: 0.4638 
  Batch 990/1316, Loss: 0.4646 
  Batch 1000/1316, Loss: 0.4651 
  Batch 1010/1316, Loss: 0.4655 
  Batch 1020/1316, Loss: 0.4658 
  Batch 1030/1316, Loss: 0.4661 
  Batch 1040/1316, Loss: 0.4663 
  Batch 1050/1316, Loss: 0.4665 
  Batch 1060/1316, Loss: 0.4667 
  Batch 1070/1316, Loss: 0.4669 
  Batch 1080/1316, Loss: 0.4672 
  Batch 1090/1316, Loss: 0.4674 
  Batch 1100/1316, Loss: 0.4676 
